"PKEY","BOID","METABO","LASTUPDATE","PROCESSID","ROWCOMMENT","CREATED","BIZCREATED","CREATEDUSER","BIZUSER","REPLACED","REPLACEDUSER","GUELTAB","GUELTBIS","STATEFROM","STATEUPTO","STATEBEGIN","STATEEND","KURZBEZDT","BEZEICHNUNGDT","KURZBEZEN","BEZEICHNUNGEN","KURZBEZFR","BEZEICHNUNGFR","KURZBEZIT","BEZEICHNUNGIT","KURZBEZ05","BEZEICHNUNG05","KURZBEZ06","BEZEICHNUNG06","KURZBEZ07","BEZEICHNUNG07","KURZBEZ08","BEZEICHNUNG08","KURZBEZ09","BEZEICHNUNG09","KURZBEZ10","BEZEICHNUNG10","INTERNALNAME","AKTIV","TARIFDATENQUELLE","TARIFTAXPUNKTTYP","VERSION","LASTMUTATION","DELIVERYID","TAEL_ID","DRGLWOUTLINRSF1","DRGLWOUTLINRSF2","ITSANALOGIETARIF","SPALBRTETARZIF","TARIFTEXTMAPPING","ITSKOGUZEITRMENHT","TIMESEG","ARCHIVETAG","MDBID","ANALOGIEZIFFERATTR"
711,"566",-608,2016-08-08 14:57:27.577185000,"P.-255612","",2016-07-23 10:18:29.376239000,2016-07-23 10:18:29.376239000,"FStofer","FStofer",2016-08-08 14:57:27.577185000,"DHaramincic",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"952","BESA 12 Stufen","952","BESA 12 Stufen","952","BESA 12 Stufen","952","BESA 12 Stufen","","","","","","","","","","","","","952","-10110","-53800","-53853","",,,,,,"",0,"","-50612",3000-01-01,"","",""
712,"567",-608,2016-08-08 14:57:27.577185000,"P.-255612","",2016-07-23 10:18:29.380236000,2016-07-23 10:18:29.380236000,"FStofer","FStofer",2016-08-08 14:57:27.577185000,"DHaramincic",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"951","BESA 4 Stufen","951","BESA 4 Stufen","951","BESA 4 Stufen","951","BESA 4 Stufen","","","","","","","","","","","","","951","-10110","-53800","-53853","",,,,,,"",0,"","-50612",3000-01-01,"","",""
715,"569",-608,2016-08-08 14:57:27.577185000,"P.-255612","SYRIUS-23902",2016-07-23 10:18:29.393739000,2016-07-23 10:18:29.393739000,"FStofer","FStofer",2016-08-08 14:57:27.577185000,"DHaramincic",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"403","Medikamenten-Katalog (Abrechnungsziffer: Swissmedic-Nr.","403","Medikamenten-Katalog (Abrechnungsziffer: Swissmedic-Nr.","403","Medikamenten-Katalog (Abrechnungsziffer: Swissmedic-Nr.","403","Medikamenten-Katalog (Abrechnungsziffer: Swissmedic-Nr.","","","","","","","","","","","","","403","-10110","-53801","-53853","",,,,,,"-2",0,"","",3000-01-01,"","","-2010005700"
716,"570",-608,2016-08-08 14:57:27.577185000,"P.-255612","",2016-07-23 10:18:29.398751000,2016-07-23 10:18:29.398751000,"FStofer","FStofer",2016-08-08 14:57:27.577185000,"DHaramincic",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"954","RAI/RUG 12 Stufen","954","RAI/RUG 12 Stufen","954","RAI/RUG 12 Stufen","954","RAI/RUG 12 Stufen","","","","","","","","","","","","","954","-10110","-53800","-53853","",,,,,,"",0,"","-50612",3000-01-01,"","",""
717,"571",-608,2016-08-08 14:57:27.577185000,"P.-255612","",2016-07-23 10:18:29.402547000,2016-07-23 10:18:29.402547000,"FStofer","FStofer",2016-08-08 14:57:27.577185000,"DHaramincic",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"953","PLAISIR 8 Stufen","953","PLAISIR 8 Stufen","953","PLAISIR 8 Stufen","953","PLAISIR 8 Stufen","","","","","","","","","","","","","953","-10110","-53800","-53853","",,,,,,"",0,"","-50612",3000-01-01,"","",""
718,"572",-608,2016-08-08 14:57:27.577185000,"P.-255612","",2016-07-23 10:18:29.406566000,2016-07-23 10:18:29.406566000,"FStofer","FStofer",2016-08-08 14:57:27.577185000,"DHaramincic",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"956","ZSB BESA 10 Stufen (Zentrales System Bern)","956","ZSB BESA 10 Stufen (Zentrales System Bern)","956","ZSB BESA 10 Stufen (Zentrales System Bern)","956","ZSB BESA 10 Stufen (Zentrales System Bern)","","","","","","","","","","","","","956","-10110","-53800","-53853","",,,,,,"",0,"","-50612",3000-01-01,"","",""
719,"573",-608,2016-08-08 14:57:27.577185000,"P.-255612","",2016-07-23 10:18:29.410752000,2016-07-23 10:18:29.410752000,"FStofer","FStofer",2016-08-08 14:57:27.577185000,"DHaramincic",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"955","RAI/RUG 44 Stufen","955","RAI/RUG 44 Stufen","955","RAI/RUG 44 Stufen","955","RAI/RUG 44 Stufen","","","","","","","","","","","","","955","-10110","-53800","-53853","",,,,,,"",0,"","-50612",3000-01-01,"","",""
720,"574",-608,2016-08-08 14:57:27.577185000,"P.-255612","",2016-07-23 10:18:29.414654000,2016-07-23 10:18:29.414654000,"FStofer","FStofer",2016-08-08 14:57:27.577185000,"DHaramincic",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"958","Tessin 4 Stufen","958","Tessin 4 Stufen","958","Tessin 4 Stufen","958","Tessin 4 Stufen","","","","","","","","","","","","","958","-10110","-53800","-53853","",,,,,,"",0,"","-50612",3000-01-01,"","",""
721,"575",-608,2016-08-08 14:57:27.577185000,"P.-255612","",2016-07-23 10:18:29.418566000,2016-07-23 10:18:29.418566000,"FStofer","FStofer",2016-08-08 14:57:27.577185000,"DHaramincic",2010-01-01,3000-01-01,2010-01-01,3000-01-01,1000-01-01,3000-01-01,"020","Stationäre Rehabilitation (H+)","020","Réadaptation pour patients hospitalisés (H+)","020","Stationäre Rehabilitation (H+)","020","Stationäre Rehabilitation (H+)","","","","","","","","","","","","","020","-10111","-53800","-62764","",,,,,,"",0,"","",3000-01-01,"","",""
722,"576",-608,2016-08-08 14:57:27.577185000,"P.-255612","",2016-07-23 10:18:29.422285000,2016-07-23 10:18:29.422285000,"FStofer","FStofer",2016-08-08 14:57:27.577185000,"DHaramincic",2010-01-01,3000-01-01,2010-01-01,3000-01-01,1000-01-01,3000-01-01,"030","Stationäre Psychiatrie (H+)","030","Patients hospitalisés en psychiatrie (H+)","030","Stationäre Psychiatrie (H+)","030","Stationäre Psychiatrie (H+)","","","","","","","","","","","","","030","-10111","-53800","-62764","",,,,,,"",0,"","",3000-01-01,"","",""
723,"577",-608,2016-08-08 14:57:27.577185000,"P.-255612","",2016-07-23 10:18:29.426000000,2016-07-23 10:18:29.426000000,"FStofer","FStofer",2016-08-08 14:57:27.577185000,"DHaramincic",2014-04-01,3000-01-01,2014-04-01,3000-01-01,1000-01-01,3000-01-01,"222","Zahnarzt-Tarif UV / MV / IV (SSO)","222","Tarif dentaire suisse AA / AM / AI (SSO)","222","Zahnarzt-Tarif UV / MV / IV (SSO)","222","Zahnarzt-Tarif UV / MV / IV (SSO)","","","","","","","","","","","","","222","-10110","-53801","-53851","",,,,,,"",0,"","",3000-01-01,"","",""
724,"578",-608,2016-08-08 14:57:27.577185000,"P.-255612","",2016-07-23 10:18:29.429460000,2016-07-23 10:18:29.429460000,"FStofer","FStofer",2016-08-08 14:57:27.577185000,"DHaramincic",2014-04-01,3000-01-01,2014-04-01,3000-01-01,1000-01-01,3000-01-01,"223","Tarif für zahntechnische Arbeiten UV / MV / IV (VZLS)","223","Tarif pour les travaux de technique dentaire AA / AM / AI (VZLS)","223","Tarif für zahntechnische Arbeiten UV / MV / IV (VZLS)","223","Tarif für zahntechnische Arbeiten UV / MV / IV (VZLS)","","","","","","","","","","","","","223","-10110","-53801","-53851","",,,,,,"",0,"","",3000-01-01,"","",""
201,"41",-608,2016-07-17 23:50:43.557791000,"P.-255075","",2016-07-17 23:46:39.724725000,2016-07-17 23:46:39.724725000,"FStofer","FStofer",2016-07-17 23:50:43.557791000,"FStofer",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"ZU1","Kostenart-Tarif Zusatzleistungen","ZU1","Kostenart-Tarif Zusatzleistungen","ZU1","Kostenart-Tarif Zusatzleistungen","ZU1","Kostenart-Tarif Zusatzleistungen","","","","","","","","","","","","","AXZ1","-10110","-53800","-53853","1",,,,,,"",10,"","",3000-01-01,"","",""
202,"41",-608,2016-07-17 23:53:01.752647000,"P.-255075","",2016-07-17 23:50:43.557791000,2016-07-17 23:50:43.557791000,"FStofer","FStofer",2016-07-17 23:53:01.752647000,"FStofer",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"ZU1","Kostenart-Tarif Zusatzleistungen","ZU1","Kostenart-Tarif Zusatzleistungen","ZU1","Kostenart-Tarif Zusatzleistungen","ZU1","Kostenart-Tarif Zusatzleistungen","","","","","","","","","","","","","A08","-10110","-53800","-53853","1",,,,,,"",10,"","",3000-01-01,"","",""
203,"41",-608,2016-07-17 23:53:01.752647000,"P.-255075","",2016-07-17 23:53:01.752647000,2016-07-17 23:53:01.752647000,"FStofer","FStofer",3000-01-01 00:00:00.000000000,"",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"ZU1","Kostenart-Tarif Zusatzleistungen","ZU1","Kostenart-Tarif Zusatzleistungen","ZU1","Kostenart-Tarif Zusatzleistungen","ZU1","Kostenart-Tarif Zusatzleistungen","","","","","","","","","","","","","TT_ZU1","-10110","-53800","-53853","1",,,,,,"",10,"","",3000-01-01,"","",""
801,"641",-608,2016-08-29 10:04:47.343088000,"B.5205","",2016-08-29 10:04:47.343088000,2016-08-29 10:04:47.343088000,"DHaramincic","DHaramincic",3000-01-01 00:00:00.000000000,"",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"317","Eidg. Analysenliste (EAL) neu ab 01.07.2009","317","Eidg. Analysenliste (EAL) neu ab 01.07.2009","317","Eidg. Analysenliste (EAL) neu ab 01.07.2009","317","Eidg. Analysenliste (EAL) neu ab 01.07.2009","","","","","","","","","","","","","317","-10110","-53801","-53851","01",,1472,5007958,,,"",0,"","",3000-01-01,"","",""
782,"-2",-608,2016-08-08 14:57:04.031648000,"B.4952","",2016-08-08 14:57:04.031648000,2016-08-08 14:57:04.031648000,"DHaramincic","DHaramincic",3000-01-01 00:00:00.000000000,"",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"400","Medikamenten-Katalog ,Abrechnungsziffer: Pharmacode","400","Medikamenten-Katalog ,Abrechnungsziffer: Pharmacode","400","Medikamenten-Katalog ,Abrechnungsziffer: Pharmacode","400","Medikamenten-Katalog ,Abrechnungsziffer: Pharmacode","","","","","","","","","","","","","400","-10110","-53801","-53853","",,1520,6024341,,,"",0,"","",3000-01-01,"","",""
783,"-3",-608,2016-08-08 14:57:04.031648000,"B.4952","",2016-08-08 14:57:04.031648000,2016-08-08 14:57:04.031648000,"DHaramincic","DHaramincic",3000-01-01 00:00:00.000000000,"",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"452","MiGeL: ab 2001 (Mittel und Gegenstände Liste)","452","MiGeL: ab 2001 (Mittel und Gegenstände Liste)","452","MiGeL: ab 2001 (Mittel und Gegenstände Liste)","452","MiGeL: ab 2001 (Mittel und Gegenstände Liste)","","","","","","","","","","","","","452","-10110","-53801","-53853","",,1506,7483302,,,"",13,"","",3000-01-01,"","",""
784,"-6",-608,2016-08-08 14:57:04.031648000,"B.4952","",2016-08-08 14:57:04.031648000,2016-08-08 14:57:04.031648000,"DHaramincic","DHaramincic",3000-01-01 00:00:00.000000000,"",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"001","Tarmed","001","Tarmed","001","Tarmed","001","Tarmed","","","","","","","","","","","","","001","-10110","-53801","-53852","",,1559,7929025,,,"",0,"","",3000-01-01,"","",""
785,"21",-608,2016-08-08 14:57:04.031648000,"B.4952","",2016-08-08 14:57:04.031648000,2016-08-08 14:57:04.031648000,"DHaramincic","DHaramincic",3000-01-01 00:00:00.000000000,"",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"011","Zusatzentgelte-Katalog (SwissDRG)","011","Zusatzentgelte-Katalog (SwissDRG)","011","Rémunérations supplémentaires (SwissDRG)","011","Compensi supplementi (SwissDRG)","","","","","","","","","","","","","011","-10110","-53801","-53853","",,2086,8841150,,,"",0,"","",3000-01-01,"","",""
786,"22",-608,2016-08-08 14:57:04.031648000,"B.4952","",2016-08-08 14:57:04.031648000,2016-08-08 14:57:04.031648000,"DHaramincic","DHaramincic",3000-01-01 00:00:00.000000000,"",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"012","Tarif für stationäre Leistungen nach OKP","012","Tarif für stationäre Leistungen nach OKP","012","Tarif für stationäre Leistungen nach OKP","012","Tarif für stationäre Leistungen nach OKP","","","","","","","","","","","","","012","-10110","-53800","-53853","",,1830,8917486,,,"",0,"","",3000-01-01,"","",""
787,"3",-608,2016-08-08 14:57:04.031648000,"B.4952","",2016-08-08 14:57:04.031648000,2016-08-08 14:57:04.031648000,"DHaramincic","DHaramincic",3000-01-01 00:00:00.000000000,"",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"010","Swiss DRG","010","Swiss DRG","010","Swiss DRG","010","Swiss DRG","","","","","","","","","","","","","010","-10110","-53800","-62764","",,1566,8703200,2,0.75,"",0,"","",3000-01-01,"","",""
788,"61",-608,2016-08-08 14:57:04.031648000,"B.4952","",2016-08-08 14:57:04.031648000,2016-08-08 14:57:04.031648000,"DHaramincic","DHaramincic",3000-01-01 00:00:00.000000000,"",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"590","Alternative Heilmethoden","590","Alternative Heilmethoden","590","Alternative Heilmethoden","590","Alternative Heilmethoden","","","","","","","","","","","","","590","-10110","-53800","-53853","",,,,,,"",0,"","",3000-01-01,"","",""
781,"621",-608,2016-08-08 14:57:04.031648000,"B.4952","",2016-08-08 14:57:04.031648000,2016-08-08 14:57:04.031648000,"DHaramincic","DHaramincic",3000-01-01 00:00:00.000000000,"",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"311","Schweiz. Physiotherapeuten Tarif","311","Schweiz. Physiotherapeuten Tarif","311","Schweiz. Physiotherapeuten Tarif","311","Schweiz. Physiotherapeuten Tarif","","","","","","","","","","","","","311","-10110","-53801","-62839","1.0.0",,82,309835002,,,"",0,"","",3000-01-01,"","",""
725,"579",-608,2016-08-08 14:57:27.577185000,"P.-255612","",2016-07-23 10:18:29.432788000,2016-07-23 10:18:29.432788000,"FStofer","FStofer",2016-08-08 14:57:27.577185000,"DHaramincic",2012-10-01,3000-01-01,2012-10-01,3000-01-01,1000-01-01,3000-01-01,"290","Tarif für polydisziplinären Gutachten für die IV","290","Tarif pour les expertises pluridisciplinaires de l¿AI ","290","Tarif für polydisziplinären Gutachten für die IV","290","Tarif für polydisziplinären Gutachten für die IV","","","","","","","","","","","","","290","-10110","-53801","-53853","",,,,,,"",0,"","",3000-01-01,"","",""
726,"580",-608,2016-08-08 14:57:27.577185000,"P.-255612","",2016-07-23 10:18:29.436513000,2016-07-23 10:18:29.436513000,"FStofer","FStofer",2016-08-08 14:57:27.577185000,"DHaramincic",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"312","Physiotherapie-Tarif (physioswiss) neu KV","312","Tarif suisse de physiothérapie (physioswiss) nouveau LAMal","312","Physiotherapie-Tarif (physioswiss) neu KV","312","Physiotherapie-Tarif (physioswiss) neu KV","","","","","","","","","","","","","312","-10110","-53801","-62839","",,,,,,"",0,"","",3000-01-01,"","",""
727,"581",-608,2016-08-08 14:57:27.577185000,"P.-255612","",2016-07-23 10:18:29.440189000,2016-07-23 10:18:29.440189000,"FStofer","FStofer",2016-08-08 14:57:27.577185000,"DHaramincic",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"329","Tarif für Hörgeräte (HZV)","329","Tarif pour appareils acoustiques (HZV)","329","Tarif für Hörgeräte (HZV)","329","Tarif für Hörgeräte (HZV)","","","","","","","","","","","","","329","-10111","-53800","-53853","",,,,,,"",0,"","",3000-01-01,"","",""
728,"512",-608,2016-08-08 14:57:27.577185000,"P.-255612","",2016-07-23 10:18:29.444667000,2016-07-23 10:18:29.444667000,"FStofer","FStofer",2016-08-08 14:57:27.577185000,"DHaramincic",1900-01-01,3000-01-01,2004-10-01,3000-01-01,2004-10-01,3000-01-01,"330","Tarif für ambulante neuropsychologische Leistungen an versicherten Personen gemäss IVG, UVG und MVG in zugelassenen Institutionen (H+)","330","Tarif pour des prestations neuropsychologiques ambulatoires
fournies aux assurés selon LAI,  LAA et LAM dans des institutions reconnues (H+)","330","Tarif für ambulante neuropsychologische Leistungen an versicherten Personen gemäss IVG, UVG und MVG in zugelassenen Institutionen (H+)","330","Tarif für ambulante neuropsychologische Leistungen an versicherten Personen gemäss IVG, UVG und MVG in zugelassenen Institutionen (H+)","","","","","","","","","","","","","330","-10111","-53800","-53853","",,,,,,"",0,"","",3000-01-01,"","",""
729,"582",-608,2016-08-08 14:57:27.577185000,"P.-255612","",2016-07-23 10:18:29.450157000,2016-07-23 10:18:29.450157000,"FStofer","FStofer",2016-08-08 14:57:27.577185000,"DHaramincic",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"332","Evaluation der funktionellen Leistungsfähigkeit (EFL)","332","Evaluation de la capacité fonctionnelle (ECF)","332","Evaluation der funktionellen Leistungsfähigkeit (EFL)","332","Evaluation der funktionellen Leistungsfähigkeit (EFL)","","","","","","","","","","","","","332","-10111","-53800","-53853","",,,,,,"",0,"","",3000-01-01,"","",""
730,"499",-608,2016-08-08 14:57:27.577185000,"P.-255612","",2016-07-23 10:18:29.454080000,2016-07-23 10:18:29.454080000,"FStofer","FStofer",2016-08-08 14:57:27.577185000,"DHaramincic",1900-01-01,3000-01-01,2000-01-01,3000-01-01,2000-01-01,3000-01-01,"334","Tarif für Krankenschwestern und -pfleger SBK nach UV/MV/IV","334","Tarif pour infirmières et infirmiers ASI selon AA/AM/AI","334","Tarif für Krankenschwestern und -pfleger SBK nach UV/MV/IV","334","Tarif für Krankenschwestern und -pfleger SBK nach UV/MV/IV","","","","","","","","","","","","","334","-10111","-53800","-53853","",,,,,,"",0,"","",3000-01-01,"","",""
731,"583",-608,2016-08-08 14:57:27.577185000,"P.-255612","",2016-07-23 10:18:29.460364000,2016-07-23 10:18:29.460364000,"FStofer","FStofer",2016-08-08 14:57:27.577185000,"DHaramincic",2000-01-01,3000-01-01,2000-01-01,3000-01-01,1000-01-01,3000-01-01,"335","Tarif für zahntechnische Arbeiten (VZLS) nach UV/MV/IV","335","Tarif pour les travaux de technique dentaire (ALPDS) selon AA/AM/AI","335","Tarif für zahntechnische Arbeiten (VZLS) nach UV/MV/IV","335","Tarif für zahntechnische Arbeiten (VZLS) nach UV/MV/IV","","","","","","","","","","","","","335","-10111","-53800","-53853","",,,,,,"",0,"","",3000-01-01,"","",""
732,"584",-608,2016-08-08 14:57:27.577185000,"P.-255612","",2016-07-23 10:18:29.463983000,2016-07-23 10:18:29.463983000,"FStofer","FStofer",2016-08-08 14:57:27.577185000,"DHaramincic",2014-01-01,3000-01-01,2014-01-01,3000-01-01,1000-01-01,3000-01-01,"336","Tarif für ambulante logopädische Leistungen ""freischaffend"" (Tarif 555)","336","Tarif pour des prestations ambulatoires logopédiques ""indépendent"" (Tarif 555)","336","Tarif für ambulante logopädische Leistungen ""freischaffend"" (Tarif 555)","336","Tarif für ambulante logopädische Leistungen ""freischaffend"" (Tarif 555)","","","","","","","","","","","","","336","-10111","-53800","-53853","",,,,,,"",0,"","",3000-01-01,"","",""
733,"585",-608,2016-08-08 14:57:27.577185000,"P.-255612","",2016-07-23 10:18:29.467848000,2016-07-23 10:18:29.467848000,"FStofer","FStofer",2016-08-08 14:57:27.577185000,"DHaramincic",2015-07-01,3000-01-01,2015-07-01,3000-01-01,1000-01-01,3000-01-01,"401","SL Therapeutische Gruppe 70 (Homoeopathica / Anthroposophica / Spezifische Immuntherapeutika)","401","LS Groupe thérapeutique 70 (Homoeopathie / Anthroposophie /Médicaments relevant de l'immunothérapie spécifique)","401","SL Therapeutische Gruppe 70 (Homoeopathica / Anthroposophica / Spezifische Immuntherapeutika)","401","SL Therapeutische Gruppe 70 (Homoeopathica / Anthroposophica / Spezifische Immuntherapeutika)","","","","","","","","","","","","","401","-10111","-53800","-53853","",,,,,,"",0,"","",3000-01-01,"","",""
734,"586",-608,2016-08-08 14:57:27.577185000,"P.-255612","",2016-07-23 10:18:29.471232000,2016-07-23 10:18:29.471232000,"FStofer","FStofer",2016-08-08 14:57:27.577185000,"DHaramincic",2014-04-01,3000-01-01,2014-04-01,3000-01-01,1000-01-01,3000-01-01,"424","Chiropraktoren-Tarif  UV / MV / IV (Chirosuisse)","424","Tarif des chiropraticiens AA / AM / AI (chirosuisse)","424","Chiropraktoren-Tarif  UV / MV / IV (Chirosuisse)","424","Chiropraktoren-Tarif  UV / MV / IV (Chirosuisse)","","","","","","","","","","","","","424","-10111","-53800","-53853","",,,,,,"",0,"","",3000-01-01,"","",""
735,"587",-608,2016-08-08 14:57:27.577185000,"P.-255612","",2016-07-23 10:18:29.474693000,2016-07-23 10:18:29.474693000,"FStofer","FStofer",2016-08-08 14:57:27.577185000,"DHaramincic",2016-07-01,3000-01-01,2016-07-01,3000-01-01,1000-01-01,3000-01-01,"503","SVK: PSI (bisher 500)","503","","503","SVK: PSI (bisher 500)","503","SVK: PSI (bisher 500)","","","","","","","","","","","","","503","-10111","-53800","-53853","",,,,,,"",0,"","",3000-01-01,"","",""
736,"588",-608,2016-08-08 14:57:27.577185000,"P.-255612","",2016-07-23 10:18:29.478441000,2016-07-23 10:18:29.478441000,"FStofer","FStofer",2016-08-08 14:57:27.577185000,"DHaramincic",2016-07-01,3000-01-01,2016-07-01,3000-01-01,1000-01-01,3000-01-01,"504","SVK: Ernährung zuhause SVK (bisher 500)","504","","504","SVK: Ernährung zuhause SVK (bisher 500)","504","SVK: Ernährung zuhause SVK (bisher 500)","","","","","","","","","","","","","504","-10111","-53800","-53853","",,,,,,"",0,"","",3000-01-01,"","",""
737,"589",-608,2016-08-08 14:57:27.577185000,"P.-255612","",2016-07-23 10:18:29.481892000,2016-07-23 10:18:29.481892000,"FStofer","FStofer",2016-08-08 14:57:27.577185000,"DHaramincic",2016-07-01,3000-01-01,2016-07-01,3000-01-01,1000-01-01,3000-01-01,"505","Mechanische Heimventilation SVK","505","","505","Mechanische Heimventilation SVK","505","Mechanische Heimventilation SVK","","","","","","","","","","","","","505","-10111","-53800","-53853","",,,,,,"",0,"","",3000-01-01,"","",""
738,"590",-608,2016-08-08 14:57:27.577185000,"P.-255612","",2016-07-23 10:18:29.485350000,2016-07-23 10:18:29.485350000,"FStofer","FStofer",2016-08-08 14:57:27.577185000,"DHaramincic",2016-07-01,3000-01-01,2016-07-01,3000-01-01,1000-01-01,3000-01-01,"506","Medikamente SVK","506","","506","Medikamente SVK","506","Medikamente SVK","","","","","","","","","","","","","506","-10111","-53800","-53853","",,,,,,"",0,"","",3000-01-01,"","",""
739,"591",-608,2016-08-08 14:57:27.577185000,"P.-255612","",2016-07-23 10:18:29.488972000,2016-07-23 10:18:29.488972000,"FStofer","FStofer",2016-08-08 14:57:27.577185000,"DHaramincic",2004-01-01,3000-01-01,2004-01-01,3000-01-01,1000-01-01,3000-01-01,"513","Tarif für nichtärztliche Beratungs- und Pflegeleistungen in Spitälern; ambulante Stomaberatung und -behandlung (H+)","513","Tarif pour des prestations non médicales de conseils et de soins en milieu hospitalier: conseil et traitement ambulatoires en matière de stomie (H+)","513","Tarif für nichtärztliche Beratungs- und Pflegeleistungen in Spitälern; ambulante Stomaberatung und -behandlung (H+)","513","Tarif für nichtärztliche Beratungs- und Pflegeleistungen in Spitälern; ambulante Stomaberatung und -behandlung (H+)","","","","","","","","","","","","","513","-10111","-53800","-53853","",,,,,,"",0,"","",3000-01-01,"","",""
740,"526",-608,2016-08-08 14:57:27.577185000,"P.-255612","",2016-07-23 10:18:29.492823000,2016-07-23 10:18:29.492823000,"FStofer","FStofer",2016-08-08 14:57:27.577185000,"DHaramincic",1900-01-01,3000-01-01,2002-01-01,3000-01-01,2002-01-01,3000-01-01,"514","Tarif für ambulante Leistungen der Ernährungsberatung in Spitälern (H+)","514","Tarif pour des prestations ambulatoires de conseils en nutrition fournies en établissements hospitaliers (H+)","514","Tarif für ambulante Leistungen der Ernährungsberatung in Spitälern (H+)","514","Tarif für ambulante Leistungen der Ernährungsberatung in Spitälern (H+)","","","","","","","","","","","","","514","-10111","-53800","-53853","",,,,,,"",0,"","",3000-01-01,"","",""
741,"507",-608,2016-08-08 14:57:27.577185000,"P.-255612","",2016-07-23 10:18:29.499264000,2016-07-23 10:18:29.499264000,"FStofer","FStofer",2016-08-08 14:57:27.577185000,"DHaramincic",1900-01-01,3000-01-01,2002-01-01,3000-01-01,2002-01-01,3000-01-01,"515","Tarif für ambulante Leistungen der Diabetesberatung in Spitälern (H+)","515","Tarif pour des prestations ambulatoires de conseils aux diabétiques fournies en établissements hospitaliers (H+)","515","Tarif für ambulante Leistungen der Diabetesberatung in Spitälern (H+)","515","Tarif für ambulante Leistungen der Diabetesberatung in Spitälern (H+)","","","","","","","","","","","","","515","-10111","-53800","-53853","",,,,,,"",0,"","",3000-01-01,"","",""
742,"592",-608,2016-08-08 14:57:27.577185000,"P.-255612","",2016-07-23 10:18:29.505047000,2016-07-23 10:18:29.505047000,"FStofer","FStofer",2016-08-08 14:57:27.577185000,"DHaramincic",2004-10-01,3000-01-01,2004-10-01,3000-01-01,1000-01-01,3000-01-01,"516","Tarif für Diabetesberatung (SBK)","516","Tarif pour les conseils diabétiques (ASI)","516","Tarif für Diabetesberatung (SBK)","516","Tarif für Diabetesberatung (SBK)","","","","","","","","","","","","","516","-10111","-53800","-53853","",,,,,,"",0,"","",3000-01-01,"","",""
743,"504",-608,2016-08-08 14:57:27.577185000,"P.-255612","",2016-07-23 10:18:29.509008000,2016-07-23 10:18:29.509008000,"FStofer","FStofer",2016-08-08 14:57:27.577185000,"DHaramincic",1900-01-01,3000-01-01,2011-01-01,3000-01-01,2011-01-01,3000-01-01,"532","Pflegeleistungen ambulant","532","Prestations de soins ambulatoire","532","Pflegeleistungen ambulant","532","Pflegeleistungen ambulant","","","","","","","","","","","","","532","-10111","-53800","-53853","",,,,,,"",0,"","",3000-01-01,"","",""
744,"593",-608,2016-08-08 14:57:27.577185000,"P.-255612","",2016-07-23 10:18:29.514577000,2016-07-23 10:18:29.514577000,"FStofer","FStofer",2016-08-08 14:57:27.577185000,"DHaramincic",2011-01-01,3000-01-01,2011-01-01,3000-01-01,1000-01-01,3000-01-01,"541","Tarif Lungenliga","541","Tarif de la ligue pulmonaire","541","Tarif Lungenliga","541","Tarif Lungenliga","","","","","","","","","","","","","541","-10111","-53800","-53853","",,,,,,"",0,"","",3000-01-01,"","",""
