"PKEY","BOID","METABO","LASTUPDATE","PROCESSID","ROWCOMMENT","CREATED","CREATEDUSER","REPLACED","REPLACEDUSER","KURZBEZDT","BEZEICHNUNGDT","KURZBEZEN","BEZEICHNUNGEN","KURZBEZFR","BEZEICHNUNGFR","KURZBEZIT","BEZEICHNUNGIT","KURZBEZ05","BEZEICHNUNG05","KURZBEZ06","BEZEICHNUNG06","KURZBEZ07","BEZEICHNUNG07","KURZBEZ08","BEZEICHNUNG08","KURZBEZ09","BEZEICHNUNG09","KURZBEZ10","BEZEICHNUNG10","INTERNALNAME","SYSTEM_","ITSCOKOKATEGORIE","TIMESEG","ARCHIVETAG","MDBID"
1246,"1123",-9,2016-06-03 10:37:33.950993000,"P.-123901","",2015-12-09 09:53:03.000815000,"PMueller",2016-06-03 10:37:33.950993000,"FStofer","VI_km","Fahrleistung (km pro Jahr)","VI_km","Fahrleistung (km pro Jahr)","VI_km","Fahrleistung (km pro Jahr)","VI_km","Fahrleistung (km pro Jahr)","","","","","","","","","","","","","CT_VIVAO_MF_HAFT_KM","0","61",3000-01-01,"",""
1201,"1081",-9,2015-11-12 14:23:55.491177000,"P.-123901","",2015-11-12 14:23:55.491177000,"PMueller",3000-01-01 00:00:00.000000000,"","EUTGHö","Taggeld","EUTGHö","Taggeld","EUTGHö","Taggeld","EUTGHö","Taggeld","","","","","","","","","","","","","CT_EU_TAGGELD","0","",3000-01-01,"",""
-168,"-2010003704",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","EWEART","EWE-Art","","","","Genre consentement éclairé","","Genere DdC","","EWE-Art","","","","","","","","","","","SYR_CodeTab_EinwErklArt","0","",,"",""
-169,"-2010003703",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","EWEFRM","EWE-Form","","","","Formulaire consentement éclairé","","Modulo DdC","","EWE-Form","","","","","","","","","","","SYR_CodeTab_EinwErklForm","0","",,"",""
-171,"-2010003702",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","EWETYP","EWE-Typ","","","","Type consentement éclairé","","Tipo DdC","","EWE-Typ","","","","","","","","","","","SYR_CodeTab_EinwErklTyp","0","",,"",""
-51281,"-51281",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","Einzug","Einzugsermächtigung","","","Einzug","Autorisation de prélèvement","Einzug","Autorizzazione incasso","","Einzugsermächtigung","","","","","","","","","","","SYR_CodeTab_Einzugsermaechtigung","1","",,"",""
-246,"-2010006394",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","ArbVer","Arbeitsverhältnis","","","","Emploi","","Rapporto di lavoro","","Arbeitsverhältnis","","","","","","","","","","","SYR_CodeTab_EmplContrStatus","1","",,"",""
-3,"-51394",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","ENTART","Entgeltart","","","ENTART","Genre de rémunération","ENTART","Genere di retribuzione","","Entgeltart","","","","","","","","","","","SYR_CodeTab_Entgeltart","0","",,"",""
-51061,"-51061",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","EnSaBe","Entscheidung Sachbearbeiter","","","EnSaBe","Décision du gestionnaire","EnSaBe","Decisione collaboratore di concetto","","Entscheidung Sachbearbeiter","","","","","","","","","","","SYR_CodeTab_EntscheidungSaBe","0","",,"",""
-94,"-51447",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","RZone","Risikozone Erdbeben","","","RZone","Zone de risque tremblements de terre","RZone","Zona di rischio terremoto","","Risikozone Erdbeben","","","","","","","","","","","SYR_CodeTab_Erdbeben","1","",,"",""
-143,"-2010001296",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","ErReg","Ereignis-Regelset","","","","Ensemble de règles pour l'évènement","","Set regole evento","","Ereignis-Regelset","","","","","","","","","","","SYR_CodeTab_Ereignis_Regelset","1","",,"",""
-247,"-2010010027",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","EDAus","Ausprägung des Ereignisdatums","","","","Caractéristique de la date de l'événement","","Impronta della data dell'evento","","Ausprägung des Ereignisdatums","","","","","","","","","","","SYR_CodeTab_EreignisdatumAuspraegung","1","",,"",""
-248,"-2010008765",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","EI","Ereignisinformation","","","","Information d'évènement","","Informazione evento","","Ereignisinformation","","","","","","","","","","","SYR_CodeTab_EreignisinformationTyp","1","",,"",""
-133,"-2010000793",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","ERLADB","Erledigungsart Direktionsbesprechung","","","","Type de traitement de la concertation de direction","","Genere di liquidazione colloquio direzione","","Erledigungsart Direktionsbesprechung","","","","","","","","","","","SYR_CodeTab_ErledigungsartDB","0","",,"",""
-51328,"-51328",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","ED","Ermittlungsdatum","","","ED","Date de l'évaluation","ED","Data di definizione","","Ermittlungsdatum","","","","","","","","","","","SYR_CodeTab_ErmittlungDatum","1","",,"",""
-51388,"-51388",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","FiBuEr","Ermittlung Fibu-Mandant","","","FiBuEr","Détermination commettant CoFi","FiBuEr","Individuazione mandante CoFi","","Ermittlung Fibu-Mandant","","","","","","","","","","","SYR_CodeTab_ErmittlungFiBuMandant","1","",,"",""
-51387,"-51387",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","KstEr","Ermittlung Kostenträger","","","KstEr","Détermination organisme payeur","KstEr","Individuazione organismo pagante","","Ermittlung Kostenträger","","","","","","","","","","","SYR_CodeTab_ErmittlungKostentraeger","1","",,"",""
-51274,"-51274",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","SCTEA","Art der Zahlungsprofilermittlung","","","SCTEA","Genre d'évaluation du profil de paiement","SCTEA","Genere di definizione del profilo di pagamento","","Art der Zahlungsprofilermittlung","","","","","","","","","","","SYR_CodeTab_ErmittlungsArt","1","",,"",""
-51265,"-51265",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","ERMDAT","Ermittlungsdatum","","","ERMDAT","Date de l'évaluation","ERMDAT","Data di definizione","","Ermittlungsdatum","","","","","","","","","","","SYR_CodeTab_Ermittlungsdatum","1","",,"",""
-51300,"-51300",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","FDOSS","Ermittlungsdatum","","","FDOSS","Date de l'évaluation","FDOSS","Data di definizione","","Ermittlungsdatum","","","","","","","","","","","SYR_CodeTab_Ermittlungsdatum_Falldossierbeginn_Tagesdatum","1","",,"",""
118,"96",-9,2014-02-20 11:37:28.886403000,"P.-123901","",2014-02-20 11:35:07.589961000,"PMueller",2014-02-20 11:37:28.886403000,"PMueller","MFPSVS","Versicherungssumme Parkschaden","MFPSVS","Versicherungssumme Parkschaden","MFPSVS","Versicherungssumme Parkschaden","MFPSVS","Versicherungssumme Parkschaden","","","","","","","","","","","","","CT_MF_VK_VS_PS","0","",2014-02-20,"",""
119,"96",-9,2014-02-20 11:37:28.886403000,"P.-207901","",2014-02-20 11:37:28.886403000,"PMueller",3000-01-01 00:00:00.000000000,"","MFPSVS","Parkschaden Deckungssumme","MFPSVS","Parkschaden Deckungssumme","MFPSVS","Parkschaden Deckungssumme","MFPSVS","Parkschaden Deckungssumme","","","","","","","","","","","","","CT_MF_VK_VS_PS","0","",2014-02-20,"",""
120,"97",-9,2014-02-20 11:40:52.132080000,"P.-254007","",2014-02-20 11:40:52.132080000,"PMueller",3000-01-01 00:00:00.000000000,"","KPKK","Katalogpreisklasse","LPCC","List price class","PTCC","Class de prix de catalogue","PLCC","Categoria di prezzo di listino","","","","","","","","","","","","","CT_MF_KATALOGPREISKLASSE_VK","0","",2014-02-20,"",""
121,"98",-9,2014-02-20 12:02:05.782995000,"P.-254007","",2014-02-20 12:02:05.782995000,"PMueller",3000-01-01 00:00:00.000000000,"","TWKK","Tarifwertklasse","TCCC","Tariff class","CVTC","Classe de valeur de tarif","CVTC","Classe di valore tariffa","","","","","","","","","","","","","CT_TARIFWERTKLASSE_CAR_BOX_KOLLISIONSKASKO","0","",2014-02-20,"",""
127,"103",-9,2014-02-20 19:34:27.632676000,"P.-254007","",2014-02-20 19:34:27.632676000,"PMueller",3000-01-01 00:00:00.000000000,"","VARI","Variante","TYPA","Type","VARO","Variante","VARO","Variante","","","","","","","","","","","","","CT_MF_VARIANTE_IU","0","",2014-02-20,"",""
128,"104",-9,2014-02-20 19:36:50.821172000,"P.-254007","",2014-02-20 19:36:50.821172000,"PMueller",3000-01-01 00:00:00.000000000,"","INV","Invaliditätssumme","INV","Sum in case of invalidity","INV","Somme en cas d'invalidité","INV","Somma del caso d'invalidità","","","","","","","","","","","","","CT_MF_INVALIDITAETSSUMME_IU","0","",2014-02-20,"",""
129,"105",-9,2014-02-20 19:38:23.456320000,"P.-254007","",2014-02-20 19:38:23.456320000,"PMueller",3000-01-01 00:00:00.000000000,"","TOD","Todesfallsumme","DEAD","Sum in case of death","DEC","Somme en cas de décès","MORT","Somma del caso di morte","","","","","","","","","","","","","CT_MF_TODESFALLSUMME_UI","0","",2014-02-20,"",""
130,"106",-9,2014-02-20 19:40:09.989802000,"P.-254007","",2014-02-20 19:40:09.989802000,"PMueller",3000-01-01 00:00:00.000000000,"","SPIT","Spital-Taggeld","SPIT","Hospital daily benefit","HOSP","Indemnité journalière d'hospitalisation","SPIT","Indennità giornaliera ospedaliera","","","","","","","","","","","","","CT_MF_SPITALTAGGELD_UI","0","",2014-02-20,"",""
141,"121",-9,2014-02-25 12:03:46.517242000,"P.-254007","",2014-02-25 12:03:46.517242000,"PMueller",3000-01-01 00:00:00.000000000,"","VS_HR","Versicherungssumme HR","VS_HR","Versicherungssumme HR","VS_HR","Versicherungssumme HR","VS_HR","Versicherungssumme HR","","","","","","","","","","","","","CT_HR_VERSICHERUNGSSUMME","0","",2014-02-25,"",""
142,"122",-9,2014-02-25 12:11:33.780743000,"P.-254007","",2014-02-25 12:08:43.997058000,"PMueller",2014-02-25 12:11:33.780743000,"PMueller","EINFDI","Einfacher Diebstahl-Deckung","EINFDI","Einfacher Diebstahl-Deckung","EINFDI","Einfacher Diebstahl-Deckung","EINFDI","Einfacher Diebstahl-Deckung","","","","","","","","","","","","","CT_HR_EINFACHERDIEBSTAHL","0","",2014-02-25,"",""
143,"123",-9,2014-02-25 12:08:51.912396000,"P.-254007","",2014-02-25 12:08:51.912396000,"PMueller",3000-01-01 00:00:00.000000000,"","MOBGL","Mobiliarglas-Deckung","MOBGL","Mobiliarglas-Deckung","MOBGL","Mobiliarglas-Deckung","MOBGL","Mobiliarglas-Deckung","","","","","","","","","","","","","CT_HR_MOBILIARGLAS","0","",2014-02-25,"",""
144,"124",-9,2014-02-25 12:08:56.351557000,"P.-254007","",2014-02-25 12:08:56.351557000,"PMueller",3000-01-01 00:00:00.000000000,"","GEBGLA","Gebäudglas-Deckung","GEBGLA","Gebäudglas-Deckung","GEBGLA","Gebäudglas-Deckung","GEBGLA","Gebäudglas-Deckung","","","","","","","","","","","","","CT_HR_GEBAEUDEGLAS","0","",2014-02-25,"",""
145,"125",-9,2014-02-25 12:09:02.929416000,"P.-254007","",2014-02-25 12:09:02.929416000,"PMueller",3000-01-01 00:00:00.000000000,"","FEUER","Feuer-Deckung","FEUER","Feuer-Deckung","FEUER","Feuer-Deckung","FEUER","Feuer-Deckung","","","","","","","","","","","","","CT_HR_FEUER","0","",2014-02-25,"",""
146,"126",-9,2014-02-25 12:09:25.546409000,"P.-254007","",2014-02-25 12:09:25.546409000,"PMueller",3000-01-01 00:00:00.000000000,"","WASSER","Wasser-Deckung","WASSER","Wasser-Deckung","WASSER","Wasser-Deckung","WASSER","Wasser-Deckung","","","","","","","","","","","","","CT_HR_WASSER","0","",2014-02-25,"",""
147,"122",-9,2014-02-25 12:11:33.780743000,"P.-207901","",2014-02-25 12:11:33.780743000,"PMueller",3000-01-01 00:00:00.000000000,"","EIFDIA","Einfacher Diebstahl auswärts","EIFDIA","Einfacher Diebstahl auswärts","EIFDIA","Einfacher Diebstahl auswärts","EIFDIA","Einfacher Diebstahl auswärts","","","","","","","","","","","","","CT_HR_EINFACHERDIEBSTAHLA","0","",2014-02-25,"",""
148,"127",-9,2014-02-25 12:12:36.876575000,"P.-123901","",2014-02-25 12:12:36.876575000,"PMueller",3000-01-01 00:00:00.000000000,"","EINBRU","Einbruch-Diebstahl","EINBRU","Einbruch-Diebstahl","EINBRU","Einbruch-Diebstahl","EINBRU","Einbruch-Diebstahl","","","","","","","","","","","","","CT_HR_EINBRUCH","0","",2014-02-25,"",""
149,"128",-9,2014-03-05 09:45:29.719045000,"P.-123901","",2014-02-25 12:14:53.694655000,"PMueller",2014-03-05 09:45:29.719045000,"PMueller","010119","Glasbruch-Deckung","010119","Glasbruch-Deckung","010119","Glasbruch-Deckung","010119","Glasbruch-Deckung","","","","","","","","","","","","","CT_HR_GLASBRUCH","0","",2014-02-25,"",""
-51084,"-51084",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","EMZP","Ermittlungszeitpunkt","","","EMZP","Date de détermination","EMZP","Momento dell'individuazione","","Ermittlungszeitpunkt","","","","","","","","","","","SYR_CodeTab_Ermittlungszeitpunkt","1","",,"",""
-51366,"-51366",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","ECK","Fehlercodes CAMT.054-Import","","","ECK","Code d'erreur CAMT.054-importation","ECK","Codice di errore importazione CAMT.054","","Fehlercodes CAMT.054-Import","","","","","","","","","","","SYR_CodeTab_ErrorCode","1","",,"",""
-144,"-2010000703",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","EPrmTp","Erstprämientyp","","","","Type de prime initiale","","Tipo di primo premio","","Erstbeitragstyp","","","","","","","","","","","SYR_CodeTab_ErstPraemTyp","1","",,"",""
-172,"-2010004647",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","EESRT","Kontext: OP-Suche","","","","Contexte: Recherche PoCo","","Contesto: Ricerca PoCo","","Kontext: OP-Suche","","","","","","","","","","","SYR_CodeTab_ErweiterteESRTilgung","1","",,"",""
-51039,"-51039",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","EVSMS","Verarbeitungsstatus","","","EVSMS","Statut du traitement","EVSMS","Stato d'elaborazione","","Verarbeitungsstatus","","","","","","","","","","","SYR_CodeTab_EvSubscrMatchStatus","1","",,"",""
-51179,"-51179",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","EvTiCo","Evaluierungszeitbedingung","","","EvTiCo","Condition de temps de l'évaluation","EvTiCo","Condizione tempo di valutazione","","Evaluierungszeitbedingung","","","","","","","","","","","SYR_CodeTab_EvalTimeCondition","1","",,"",""
-51074,"-51074",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","EA","Aktion","","","EA","Action","EA","Azione","","Aktion","","","","","","","","","","","SYR_CodeTab_EventAction","1","",,"",""
-51008,"-51008",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","ES","Status","","","ES","Statut","ES","Stato","","Status","","","","","","","","","","","SYR_CodeTab_EventStatus","1","",,"",""
-51131,"-51131",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","EQ","Externe Quelle","","","EQ","Source externe","EQ","Fonte esterna","","Externe Quelle","","","","","","","","","","","SYR_CodeTab_ExtQuelle","0","",,"",""
-51098,"-51098",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","ECA","Leistungs-Kommentarart","","","ECA","Genre de commentaire de prestations","ECA","Genere di commento della prestazione","","Leistungs-Kommentarart","","","","","","","","","","","SYR_CodeTab_ExternCommentArt","1","",,"",""
-51033,"-51033",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","FMAUEB","Ebene Arbeitsunfähigkeit","","","FMAUEB","Niveau d'incapacité de travail","FMAUEB","Livello incapacità lavorativa","","Ebene Arbeitsunfähigkeit","","","","","","","","","","","SYR_CodeTab_FMArbunEbene","1","",,"",""
-51371,"-51371",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","DKGFAA","Fachabteilung","","","DKGFAA","Service spécialisé","DKGFAA","Reparto specialistico","","Fachabteilung","","","","","","","","","","","SYR_CodeTab_Fachabteilung","1","",,"",""
-51263,"-51263",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","ft","Fälligkeitstyp","","","ft","Type d'échéance","ft","Tipo di scadenza","","Fälligkeitstyp","","","","","","","","","","","SYR_CodeTab_FaellikeitsTyp","1","",,"",""
-19,"-51212",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","FZU","Lenker zum Unfallzeitpunkt","","","FZU","Conducteur au moment de l'accident","FZU","Conducente al momento dell'incidente","","Fahrer zum Unfallzeitpunkt","","","","","","","","","","","SYR_CodeTab_Fahrer_zum_Unfallzeitpunkt","1","",,"",""
-95,"-51445",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","RZone","Risikozone Fahrraddiebstahl","","","RZone","Zone de risque vol de vélo","RZone","Zona di rischio furto bicicletta","","Risikozone Fahrraddiebstahl","","","","","","","","","","","SYR_CodeTab_Fahrraddiebstahl","1","",,"",""
-51320,"-51320",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","FzPtOb","Fahrzeugpartner","","","FzPtOb","Partenaire du véhicule","FzPtOb","Partner veicolo","","Fahrzeugpartner","","","","","","","","","","","SYR_CodeTab_FahrzeugPartnerObjekt","1","",,"",""
153,"131",-9,2014-02-25 18:27:07.944787000,"P.-254007","",2014-02-25 18:27:07.944787000,"PMueller",3000-01-01 00:00:00.000000000,"","WEGH","Anzahl Wohneinheiten","WEGH","Anzahl Wohneinheiten","WEGH","Anzahl Wohneinheiten","WEGH","Anzahl Wohneinheiten","","","","","","","","","","","","","CT_GEB_ANZAHLWHG_HAFT","0","",2014-02-25,"",""
154,"132",-9,2014-02-25 18:27:12.736602000,"P.-254007","",2014-02-25 18:27:12.736602000,"PMueller",3000-01-01 00:00:00.000000000,"","GFGH","Geschäftsraumfläche in qm","GFGH","Geschäftsraumfläche in qm","GFGH","Geschäftsraumfläche in qm","GFGH","Geschäftsraumfläche in qm","","","","","","","","","","","","","CT_GEB_GESCHAEFTSRAUMFLAECHE_HAFT","0","",2014-02-25,"",""
161,"141",-9,2014-03-03 09:29:04.442070000,"P.-254007","",2014-03-03 09:29:04.442070000,"PMueller",3000-01-01 00:00:00.000000000,"","SB_GR1","Selbstbehalt","EX_GR1","Excess","FR_GR1","Franchise","FR_GR1","Franchigia","","","","","","","","","","","","","CT_GEB_SELBSTBEHALT","0","",2014-03-03,"",""
162,"142",-9,2014-03-03 10:20:28.562679000,"P.-123901","",2014-03-03 10:20:28.562679000,"PMueller",3000-01-01 00:00:00.000000000,"","GEBFE","Feuer-Deckung möglich","GEBFE","Feuer-Deckung möglich","GEBFE","Feuer-Deckung möglich","GEBFE","Feuer-Deckung möglich","","","","","","","","","","","","","CT_GEB_FEUER","0","",2014-03-03,"",""
165,"163",-9,2014-03-03 12:47:13.106696000,"P.-123901","",2014-03-03 12:47:13.106696000,"PMueller",3000-01-01 00:00:00.000000000,"","KULTKA","Kulturkasko-Deckung","KULTKA","Kulturkasko-Deckung","KULTKA","Kulturkasko-Deckung","KULTKA","Kulturkasko-Deckung","","","","","","","","","","","","","CT_GEB_KULTURKASKO","0","",2014-03-03,"",""
166,"164",-9,2014-03-03 12:52:07.454783000,"P.-123901","",2014-03-03 12:52:07.454783000,"PMueller",3000-01-01 00:00:00.000000000,"","AUFRKO","Aufräumkosten","AUFRKO","Aufräumkosten","AUFRKO","Aufräumkosten","AUFRKO","Aufräumkosten","","","","","","","","","","","","","CT_AUFRAEUMKOSTEN","0","",2014-03-03,"",""
167,"165",-9,2014-03-03 12:54:56.425390000,"P.-123901","",2014-03-03 12:54:56.425390000,"PMueller",3000-01-01 00:00:00.000000000,"","SB","Selbstbehalt","SB","Selbstbehalt","SB","Selbstbehalt","SB","Selbstbehalt","","","","","","","","","","","","","CT_SELBSTBEHALT","0","",2014-03-03,"",""
168,"166",-9,2014-03-03 13:53:08.597674000,"P.-254007","",2014-03-03 13:53:08.597674000,"PMueller",3000-01-01 00:00:00.000000000,"","SCHKL","Schadenklassifizierung","SCHKL","Schadenklassifizierung","SCHKL","Schadenklassifizierung","SCHKL","Schadenklassifizierung","","","","","","","","","","","","","CT_SCHADENKLASSIFIZIERUNG","0","",2014-03-03,"",""
189,"128",-9,2014-03-05 09:45:29.719045000,"P.-207901","",2014-03-05 09:45:29.719045000,"PMueller",3000-01-01 00:00:00.000000000,"","HRDEGL","Glasbruch-Deckung","HRDEGL","Glasbruch-Deckung","HRDEGL","Glasbruch-Deckung","HRDEGL","Glasbruch-Deckung","","","","","","","","","","","","","CT_HR_GLASBRUCH","0","",2014-03-05,"",""
122,"86",-9,2014-02-20 13:31:57.431703000,"P.-207901","",2014-02-20 13:31:57.431703000,"PMueller",3000-01-01 00:00:00.000000000,"","KMHP","Kilometerklasse","KMLB","Kilometre Classe","KMRC","Classe de kilomètres","KMRC","Fascia di chilometri","","","","","","","","","","","","","CT_MF_KILOMETERKLASSEN","0","",2014-02-20,"",""
202,"202",-9,2013-09-23 15:07:18.820102000,"P.-123901","BOI_8088",2013-09-23 15:07:18.820102000,"lwe",3000-01-01 00:00:00.000000000,"","BOSTU","Bonusstufe","BOSTU","Bonusstufe","BOSTU","Bonusstufe","BOSTU","Bonusstufe","","","","","","","","","","","","","CT_Bonusstufe","0","",2013-09-23,"",""
2102,"1841",-9,2016-05-06 17:02:18.199034000,"P.-123901","",2016-05-06 17:02:18.199034000,"PMueller",3000-01-01 00:00:00.000000000,"","AVeObj","Anzahl VersObjs","AVeObj","Anzahl VersObjs","AVeObj","Anzahl VersObjs","AVeObj","Anzahl VersObjs","","","","","","","","","","","","","CT_NL_ANZAHL_VERSOBJS","0","",3000-01-01,"",""
2062,"1802",-9,2016-05-06 08:54:29.073220000,"P.-123901","",2016-05-06 08:54:29.073220000,"PMueller",3000-01-01 00:00:00.000000000,"","AKGFEP","Aufräumekosten Prämiensatz","AKGFEP","Aufräumekosten Prämiensatz","AKGFEP","Aufräumekosten Prämiensatz","AKGFEP","Aufräumekosten Prämiensatz","","","","","","","","","","","","","CT_GEB_FE_AUFRAEUMKOSTEN_PS","0","",3000-01-01,"",""
501,"501",-9,2015-01-20 13:06:56.973644000,"P.-123901","",2015-01-20 13:06:56.973644000,"FPFannes",3000-01-01 00:00:00.000000000,"","ZAHN","Max. Entschädigung","ZAHN","Max. Entschädigung","ZAHN","Max. Entschädigung","ZAHN","Max. Entschädigung","","","","","","","","","","","","","CT_MAX_ENTSCHAEDIGUNG","0","",3000-01-01,"",""
150,"129",-9,2014-02-25 18:07:34.399304000,"P.-254007","",2014-02-25 18:07:34.399304000,"PMueller",3000-01-01 00:00:00.000000000,"","ARTDAC","Art des Daches","ROOTYP","Roof type","GENTOI","Genre du toit","TIPTET","Tipo di tetto","","","","","","","","","","","","","CT_GEB_DACHART","0","",2014-02-25,"",""
151,"130",-9,2014-02-25 18:08:07.690486000,"P.-254007","",2014-02-25 18:07:50.956159000,"PMueller",2014-02-25 18:08:07.690486000,"PMueller","GEBART","Gebäudeart","BUITYP","Building type","TYPBAT","Type de bâtiment","TIPEDI","Tipo di edificio","","","","","","","","","","","","","CT_GEB_GEBAEUDEART_IMMO_BOX","0","",2014-02-25,"",""
152,"130",-9,2014-02-25 18:08:07.690486000,"P.-207901","",2014-02-25 18:08:07.690486000,"PMueller",3000-01-01 00:00:00.000000000,"","GEBART","Gebäudeart","BUITYP","Building type","TYPBAT","Type de bâtiment","TIPEDI","Tipo di edificio","","","","","","","","","","","","","CT_GEB_GEBAEUDEART","0","",2014-02-25,"",""
163,"161",-9,2014-03-03 11:42:01.859844000,"P.-123901","",2014-03-03 11:42:01.859844000,"PMueller",3000-01-01 00:00:00.000000000,"","VS","Versicherungssumme","VS","Versicherungssumme","VS","Versicherungssumme","VS","Versicherungssumme","","","","","","","","","","","","","CT_VERSICHERUNGSSUMME","0","",2014-03-03,"",""
164,"162",-9,2014-03-03 12:07:37.512291000,"P.-254007","",2014-03-03 12:07:37.512291000,"PMueller",3000-01-01 00:00:00.000000000,"","EBZ","Erdbebenzone","EBZ","Erdbebenzone","EBZ","Erdbebenzone","EBZ","Erdbebenzone","","","","","","","","","","","","","CT_GEB_ERDBEBENZONE","0","",2014-03-03,"",""
2781,"2461",-9,2016-12-21 09:41:46.742224000,"P.-123901","",2016-12-21 09:41:46.742224000,"PMueller",3000-01-01 00:00:00.000000000,"","HaarF","Haarfarbe","","","","","","","","","","","","","","","","","","","CT_PHVWV_HAARFARBE","0","",3000-01-01,"",""
502,"502",-9,2015-01-20 13:10:55.207932000,"P.-123901","",2015-01-20 13:10:55.207932000,"FPFannes",3000-01-01 00:00:00.000000000,"","Ents","Entschädigung","Ents","Entschädigung","Ents","Entschädigung","Ents","Entschädigung","","","","","","","","","","","","","CT_ENTSCHAEDIGUNG","0","",3000-01-01,"",""
2761,"2441",-9,2016-12-21 08:14:18.499776000,"P.-123901","",2016-12-21 08:14:18.499776000,"FPFannes",3000-01-01 00:00:00.000000000,"","AGFB","Augenfarbe","","","","","","","","","","","","","","","","","","","CT_AUGENFARBE","0","",3000-01-01,"",""
